Name,Brand,Use,Use (General),Number of Strains,Number of Species,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Lactobacillus Acidophilus,Lactobacillus bulgaricus,Lactobacillus casei,Lactobacillus plantarum,Lactobacillus rhamnosus,Lactococcus/bacilllus lactis,Streptococcus thermophilus,Lactobacillus helveticus,Lactobacillus paracasei,Lactobacillus gasseri,Lactobacillus fermentum,Lactobacillus salivarius,Lactobacillus infantis,Lactobacillus brevis,Lactobacillus reuteri,Bacillus coagulans,Bifidobacterium lactis,Bifidobacterium infantis,Saccharomyces boulardii,Lactobacillus crispatus,Lactobacillus jensenii,Lacticaseibacillus rhamnosus,Bacillus subtilis,Lactiplantibacillus plantarum,Enterococcus faecium,Pediococcus acidilactici,Bacillus clausii,Akkermansia municiphila,Lactobacillus johnsonii,Limosilactobacillus reuteri,Levilactobacillus brevis,Bifidobacterium adolescentis,P. pentosaceus
CVS Health Children's Probiotic Packets,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Cardio Probiotic,CVS,Heart,Heart,12,6,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ombre Mood Enhancer Probiotics ,Ombre,Gut,Gut,6,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ombre Ultimate Immunity Probiotics, 30 CT",Ombre,"Gut, Upper Respriatory",Respiratory,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Codeage Leaky Gut, L-Glutamine Supplement, Licorice Root, Pre + Probiotics, Postbiotic, Vegan, 60 CT",Codeage,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ombre Metabolic Booster Probiotics, 60 CT",Ombre,Gut,Gut,8,8,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Culturelle Kids Daily Probiotic Chewable Supplement, Berry, 30 CT",Culturelle,"Gut, Oral",Oral,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hers Mood Mental Health Probiotic, 30 CT",Hers,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Friska Men's Daily Enzyme + Probiotic Support Capsules,FRISKA,Gut,Gut,5,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hers digest debloat women's probiotic supplement,Hers,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hers detox gut health women's probiotic supplement,Hers,Gut,Gut,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"GoodBelly Probiotic Plus Iron Supplement Capsules, 30 CT",GoodBelly,Gut,Gut,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garden of Lifef Dr. Formulated Probiotics Mood Daily Care, 30 CT",Garden of Life,Gut,Gut,17,15,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beekeeper's Naturals Propolis Complete Gut Health Vegan Capsules,Beekeeper's ,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVS Health Feminine Health Probiotic Capsules,CVS,Gut,Gut,5,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Women's Probiotic & Cranberry Capsules, 30 CT",CVS,"Gut, Urinary",Vaginal/Urinary,6,6,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Feminine Balance Probiotic Dietary Supplements, 30 CT",CVS,Vaginal,Vaginal/Urinary,4,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Better Prenatal Probiotic Capsules,Live Better,Vaginal,Vaginal/Urinary,7,6,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Live Better Stress and Mood Probiotic, 30 CT",Live Better,Gut,Gut,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Targeted Care Probiotic,CVS,Gut,Gut,5,5,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hers start women's probiotic supplement, 30 CT",Hers,"Gut, Urinary",Vaginal/Urinary,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walgreens Daily Probiotic with Saccharomyces Boulardii,Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens ultra Probiotic Capsules 60 ea,Walgreens,Gut,Gut,10,8,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Bounty Probiotic Acidophilus Dietary Supplement Tablets 100 ea,Walgreens,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic capsules 60 ea,Walgreens,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Super Probiotic Digestive Support Capsules 20 Billion Active Cultures 30 ea,Walgreens,Gut,Gut,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic 500 Million CFU Gummies Natural Fruit,Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Adult 50+ Probiotic,Walgreens,Gut,Gut,7,7,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Clinical Strenght Probiotic Capsules (30 days) 15 billion active cultures (Packaging May Vary),Walgreens,Gut,Gut,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic,Walgreens,Gut,Gut,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Extra Strenght Probiotic Digestive Health Capsules (30 days),Walgreens,Gut,,9,9,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Ultimate Probiotic 30 ea,Walgreens,Gut,Gut,10,9,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florajen Digestion Refrigerated Probiotic, 15 Billion CFUs 60 ea",Florajen,Gut,Gut,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic Chewables,Walgreens,Gut,Gut,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Made Digestive Probiotics Advanced Dual Action Capsules,Nature Made,Gut,Gut,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florastor Daily Probiotic Supplmenet Capsules for Men and Women 30 ea,Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digestive Advantage Daily Probiotics Gummies for Women's & Men's Digestive & Gut Health, Bloading Assorted Fruit 80 ea",Digestive Advantage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle 3-in-1 Complete Probiotic Daily Formula 30ea,Culturelle,"Gut, Heart",Heart,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic + Elderberry Gummies Raspberry & Lemon,Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens 24/7 Probiotic Capsules 28ea,Walgreens,Gut,Gut,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walgreens Probiotic Gummies, Natural Strawberry ",Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Women's Daily Probiotic 30ea,Walgreens,"Gut, Vaginal",Vaginal/Urinary,4,4,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Way Primadophilus Fortify Women's Probiotic 30 Billion, Vegetarian Capsules 30 ea",Nature's Way,"Gut, Vaginal, Urinary",Vaginal/Urinary,12,7,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens microbiome probiotic once daily capsules,Walgreens,Gut,Gut,4,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic Chewables 10 Billion Active Cultures,Walgreens,Gut,Gut,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TruBiotics  Women's Probitoic + collagen Sugar Free Gummies,TruBiotics,"Gut, Urinary, Hair, Skin, Nails",Skin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Culturelle Men's Daily Health Probiotic Capsules,Culturelle,"Muscle, Brain, Gut, Reproductive",Muscle,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olly probiotic , juicy apple, 50 ea",Olly,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walgreens Super Probiotic Capsules,Walgreens,Gut,Gut,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Ultra Strength Probiotic Once-Daily,Walgreens,Gut,Gut,5,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Bounty Chewable Probiotic Acidophilus with 1 Billion Live Cultures Strawberry,Nature's Bounty,Gut,Gut,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Ultimate Gut Support Dailly Probiotic Supplement,Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic + Collagen Capsules,Walgreens,"Gut, Skin",Skin,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Healthy Balance Probiotic Once Daily Capsules,Walgreens,Gut,Gut,4,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Daily Probiotic Capsules,Walgreens,Gut,Gut,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Colon Support Probiotic,Walgreens,Gut,Gut,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walgreens Prebiotic + Probiotic Gummies Natural Peach, Strawberry, & Mixed berry",Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Digestive Health Prebiotic + Probitoic Supplement Gummies Fruit,Align,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benefiber Probiotics and Previotic Fiber Gummies Assorted Fruit Flavors,Benefiber,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Super Greens + Probiotics Capsules (30 days),Walgreens,Gut,Gut,4,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olly adult multi + probitoic, Tropical",Olly,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walgreens Super Reds + Probiotics Capsules (30 days),Walgreens,Gut,Gut,4,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Made Ultra Strenght Digestive Probiotics Gummies Raspberry & Cherry,Nature Made,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digestive Advantage Intensive Bowel Support Probiotics, Digestive Enzymes",Digestive Advantage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garden of Lifef Dr. Formulated Probiotics Mood Daily Care, 30 CT",Garden of Life,Gut,Gut,17,15,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Chapter Women's Daily Probiotic, Vegan capsules",New Chapter,"Gut, Vaginal",Vaginal/Urinary,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Ultimate Balance for Antibiotic Probiotic for Kids Orange,Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Kids Immune Defense Probiotic Chewable Vitamin C, Vitamin D & Zinc + Elderberry",Culturelle,"Gut, Upper Respriatory",Respiratory,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of Life Dr. Formulated Digestive & Immune + Zinc,Garden of Life,Gut,Gut,14,13,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic + Fiber Capsules,Walgreens,Gut,Gut,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florajen Digestion Refrigerated Probiotic, 15 Billion CFUs 30 ea",Florajen,Gut,Gut,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Chapter Probiotic All-Flora, Vegan Capsules",New Chapter,Gut,Gut,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Up4 Probiotic + Previotic, Vitamin C, Berry Flavor, Gummies 60 ea",up4,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walgreens Free & Pure Probiotic Capsules,Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of Life Dr. Formulated Probiotics Digestive & Stress 40 Billion CFU,Garden of Life,Gut,Gut,14,8,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallgreens Daily Immunity Probiotic Capsules with Vitamin C 30ea,Walgreens,Gut,Gut,5,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of Life Dr. Formulated Women's Probiotic Gummies,Garden of Life,"Gut, Bone, Breast",Bone,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nature's Truth Ultimate Probiotic 25 Billion,Nature's Truth,Gut,Gut,14,14,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Up4 Ultra High Potency Probiotic Vegan,up4,Gut,Gut,9,7,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Women's Care Probiotic, 4-in-1, 50 billion",RenewLife,"Gut, Vaginal , Urinary",Vaginal/Urinary,12,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Mood & Stress Probiotic Capsules,Walgreens,Gut,Gut,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic + Vitamin C Once-Daily Packets,Walgreens,Gut,Gut,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florajen Acidophilus High Potency Probiotics-Supports Overall Health - 20 billion CFUs,Florajen,"Gut, Vaginal, Urinary",Vaginal/Urinary,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanic Choice Probiotic Supreme,Botanic Choice,Gut,Gut,5,5,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanic Choice Probiotic Advanced Essentials,Botanic Choice,Gut,Gut,6,6,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codeage Akkermansia municiphila probiotic supplement,Codeage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Walgreens Colon Support Probiotic Value,Walgreens,Gut,Gut,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trubiotics sugar-free gummies,TruBiotics,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Florastor Daily Probiotic and Immune Support Supplement Capsules Unflavored,Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Truth Raw Flora 50 Billions Women's Probiotic,Nature's Truth,Gut,Gut,19,17,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Codeage SBO Probiotic 100 Billion CFU,Codeage,Gut,Gut,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Codeage Women's SBO probiotic Fermented Botanicals,Codeage,Gut,Gut,18,18,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Garden of Life Dr. Formulated Probiotics Daily Care,Garden of Life,Gut,Gut,13,14,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Probiotic + Turmeric Extract Capsules,Walgreens,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florastor Daily Probiotic and Prebiotic Supplement Capsules,Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florajen Women's Probiotic Gummy Urinary Tract Health Digestive and Immune Support,Florajen,"Gut, Urinary",Vaginal/Urinary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nature's Truth Raw Flora 30 Billions Women's Probiotic,Nature's Truth ,Gut,Gut,18,18,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hers digest debloat women's probiotic supplement,Hers,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hers Glow Skin Health Probiotic Supplement,Hers,"Gut, Skin",Skin,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TruBiotics Daily Probiotic Supplement,TruBiotics,Gut,Gut,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trubiotics Adult Sugar Free Gummies,TruBiotics,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lifeable Probiotic 10 Billion CFU Digestive Health Gummies Berry,Lifeable,"Gut, Vaginal",Vaginal/Urinary,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgreens Women's Probiotic Capsules,Walgreens,"Gut, Urinary, Bone ",Vaginal/Urinary,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florajen Women's Refrigerated Probiotics, 15 Billion CFU",Florajen,"Gut, Vaginal",Vaginal/Urinary,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Way Fortify Daily Extra Strength Probiotic + Prebiotics Vegetarian Capsules,Nature's Way,Gut,Gut,11,7,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Way Fortify Women's 50 Billion Probiotic Vegetable Capsules,Nature's Way,"Gut, Vaginal",Vaginal/Urinary,11,7,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Advanced regularity daily probiotic for Women & Men, Probiotic + Prebiotic Fiber",Culturelle,Gut,Gut,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioSchwartz Advanced Strength Prebiotic + Probiotic Veggie Capsules Plus Whole Food Enzymes,BioSchwartz,Gut,Gut,10,10,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanic Choice Acidophilus,Botanic Choice,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botanic Choice Acidophilus Plus,Botanic Choice,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0
Walgreens Probiotic Acidophilus Capsules,Walgreens,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nutrition Now PB8, Probiotic acidophilus",Nutrition Now,Gut,Gut,5,5,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
